"#Gene Name(s)"	"PlasmoDB ID"	"PubMed ID"	"Localisation and Timing"	"Sequence identification"	"Staining Type"	"Microscope Type"	"Quote"	"Strain"	"Comment"	"Comment 2"
"RAP1"	"PVX_085930"	16458855	"rhoptry during mature schizont"	"blast from DQ311677"	"Light"	"polyclonal antibody"	"as observed by microscopy, the immunofluorescence pattern displayed is suggestive of its rhoptry localization"	"VCG-I"	"Plasmodium vivax Vivax-Colombia-Guaviare I (VCG-I) strain"	
"PvTRAg"	"PVX_090265"	15869815	"cytoplasm during all RBC stages, erythrocyte cytoplasm during RBC stages"	"blast from Y18842"	"Light, EM"	"polyclonal antibody"	"It is localized in the parasite cytoplasm as well as in the cytoplasm of the parasitized erythrocyte"	"untyped indian strain"	"Tryptophan-Rich Antigen, Immunogold particles were also seen associated with the parasitophorous vacuolar membrane, caveola vesicle complex (CVC) and membrane of the parasitized erythrocyte"	
"PvH2B"	"PVX_090935"	15276199	"nuclear during RBC stages"	"blast from Y17725"	"light"	"polyclonal antibody"	"The expressed PvH2B protein showed DNA-binding properties on the South-Western analysis and the confocal microscopy localized it in the parasite nucleus"	"untyped indian strain"	"histone 2B"	
"#SOD"		8500842	"lysosomes during RBC stages"				"It is demonstrated here that this adopted SOD from the host gets localized in lysosomes (10 k and 100 k fractions) of the malarial merozoites"		"superoxide dismutase, unable to obtain full text"	"no gene model known, localised before the discovery of apicoplast"
"Pv34"	"PVX_090075"	19837093	"rhoptries during schizont"	"blast from FJ971590, but genbank does not appear to exist yet, taken directly from publication, orthomcl from PFD0955w "	"Light"	"polyclonal antibody to epitopes EVKAPKDDGGKEQDTLAGNK and VQNEIKNNEKLNKEKKSYDE"	"(C) Indirect immunofluorescence assay using rabbit's hyperimmune serum against the two Pv34 synthetic peptides showing immunolabeling of a fixed P. vivax schizont. The punctated fluorescence pattern observed is characteristic of rhoptry proteins."	"VCG-1"		
"PvLAP"	"PVX_118180"	19931315	"cytosol and not lysosome and not nucleus"	"blast from XP_001615930, annotation matches"	"Light"	"polyclonal antibody to whole protein"	"As shown in Fig. 1D, the distribution of the PvLAP was distinct from the lysosome and nucleus, and showed strong immunoreactivity throughout the parasite cytoplasm, indicating that that PvLAP is localized in the cytosol of the parasite."		"strain information not found"	
"#H3K9Me1"	"PVX_113665"	20419108	"PV"	"blast from orthologue TGME49_061240, annotation matches"	"Light"	"antibody to orthologue"	"In both P. yoelii and P. vivax H3K9Me1 (red) co-localized with the PV marker Etramp 4 (green) whereas H4K5Ac (red) co-localized with the DAPI stained nuclear DNA (blue)."		"strain information not found"	"Orthology unclear so cannot assign gene identifier confidently"
"H4K5Ac"	"PVX_090930"	20419108	"nucleus"	"blast from orthologue PF11_0061"	"Light"	"antibody to orthologue"	"In both P. yoelii and P. vivax H3K9Me1 (red) co-localized with the PV marker Etramp 4 (green) whereas H4K5Ac (red) co-localized with the DAPI stained nuclear DNA (blue)."		"strain information not found"	
"#Etramp 4"		20419108	"PV"		"Light"	"antibody to orthologue"	"In both P. yoelii and P. vivax H3K9Me1 (red) co-localized with the PV marker Etramp 4 (green) whereas H4K5Ac (red) co-localized with the DAPI stained nuclear DNA (blue)."		"strain information not found"	"Orthology unclear so cannot assign gene identifier confidently"
"PvTRAMP"	"PVX_123575"	20942952	"micronemes and merozoite surface"	"taken directly from publication"	"Light"	"polyclonal antibody to epitopes AVGAGSQLGQAAQESDVNRK, NSQFTNEKVLEVYSSKEENV and DVKNPSEFEILSEPIKFSIS"	"This has lead the authors to suggest that PfTRAMP originates at the micronemes and relocalizes to merozoite surface before initiation of RBC invasion."	"VCG-1"	"stage information not found"	
"#RAP1"		20942952							"Localisation not shown"	
"#AMA1"		20942952							"Localisation not shown"	
"VX-4"	"PVX_091405"	20967286	"food vacuole and cytoplasm during erythrocytic"	"blast from XP_001615272, annotation doesn't match, taken directly from publication"	"Light"	"polyclonal antibody"	"VX-4 was localized in the food vacuoles and cytoplasm of the erythrocytic stage of P. vivax. "		"strain information not found"	
"VX-1"	"PVX_195290"	20967286		"blast from XP_001615807, annotation matches, taken directly from publication"					"no localisation done, just a confirmation of gene model"	
"VX-2"	"PVX_091415"	20967286		"taken directly from publication"					"no localisation done, just a confirmation of gene model"	
"VX-3"	"PVX_091410"	20967286		"taken directly from publication"					"no localisation done, just a confirmation of gene model"	
"PvRON2"	"PVX_117880"	21401956	"rhoptry neck during late schizont"	"taken directly from publication, genbank HQ825321 not yet released"	"Fixed light"	"polyclonal antibody"	"PvRON2 is expressed in late schizonts and localized in rhoptry necks similar to what has been reported for PfRON2, which suggests its participation during target cell invasion."	"VCG-1"		
"PvAMA1"	"PVX_092275"	21401956	"microneme during schizont"	"blast from antigen RNQKPSRLTRSANNVLLE, annotation matches"	"Fixed light"	"polyclonal antibody"	"It was found that there was no co-localization between the PvAMA-1 protein (microneme marker) and PvRON2 (Figure 3C), suggesting that PvRON2 is not present in micronemes."	"VCG-1"		
"PvRhopH3"		21401956	"rhoptry bulb during schizont"		"Fixed light"	"polyclonal antibody"	"By contrast, there was a small area of central localization between PvRhopH3 (rhoptry bulb marker) and PvRON2 "	"VCG-1"		
"PvRhopH3"	"no matching gene model found"	17511961	"rhoptry during schizont, during extracellular merozoite"		"Fixed light"	"polyclonal antibody"	"The fluorescence punctate pattern is characteristic of rhoptry proteins."	"VCG-1"		
"PvClag7"	"PVX_086930"	21513780	"apical during schizont"	"taken directly from publication, genbank HQ728488 not yet released?"	"Fixed light"	"polyclonal antibody to peptide"	"Apical expression of PvClag7 in segmented schizonts evaluated by fluorescence microscopy using 100× oil immersion objective"	"VCG-1"		
"PvRhopH3"		21513780	"apical during schizont"		"Fixed light"	"antibody"	"Results clearly showed PvClag7 localization towards the merozoites' apical end and also that this protein co-localized with other proteins from the high molecular weight rhoptry complex such as PvRhopH3 (Fig. 4b),"	"VCG-1"		
